,logFC,mod_t,p,fdr_all,kME,fdr_in_module
ESYT1,0.13814310328069457,2.3168063565680663,0.023125389803255444,0.30071249536087663,0.7126211727867748,0.06698660847349959
PPDPF,0.262949008225978,2.7482590019588837,0.007431793133156708,0.26470869863932694,0.7122867439919044,0.04224155454507058
MCM5,0.09080337084643952,1.4448135109348392,0.1524941770197737,0.49554190969517714,0.7113922158782989,0.2028247674647236
URM1,0.1084968253266001,1.7434711299239667,0.08517034540392443,0.4115399421287232,0.7103195449887899,0.13527054858270351
SEPT9,0.2159252558953204,3.493606033852422,0.0007865988277607642,0.26470869863932694,0.7081809304451776,0.023762740712638883
ARFGAP1,0.16873315302013836,2.7110268109657225,0.008237668024019476,0.26470869863932694,0.7054971725389098,0.04224155454507058
PTPN7,0.17489036569805094,2.84772200448732,0.00561956315825158,0.26470869863932694,0.7037392220331676,0.03890466801866479
RALGDS,0.23783765890039454,3.409476937247664,0.0010307137895035157,0.26470869863932694,0.7027482175039426,0.023762740712638883
GNAI2,0.03770723523524033,0.5888296639433469,0.557667829140095,0.7938572478226653,0.7026636595365883,0.5904718190895124
PLEC,0.11793553643963328,1.7990973564417776,0.07585024896958553,0.39912307303978306,0.7019325763657659,0.12780861739468052
TRABD,0.04831140404436152,0.7355327124453539,0.4642092905753092,0.7404447730585747,0.7002975744274916,0.5033594717081666
CIZ1,0.15979216702578913,2.446559450861739,0.016660521038302154,0.28397972156756063,0.6980552974649971,0.059188693162389235
UCKL1,0.1381533694642103,2.3754025169997544,0.01997179080254254,0.2928538297944816,0.6972408316190795,0.06317281564049458
ACP5,0.27408645936672915,3.332015382694383,0.0013171895584704713,0.26470869863932694,0.6950009756282779,0.023762740712638883
TESPA1,0.12685797427110757,2.0056768937972524,0.04833971318340647,0.3620512315074941,0.6944500743324812,0.09813325232721615
SCAMP4,0.041201523610637114,0.5748042423628581,0.5670690746088941,0.798450405906646,0.6943934883683084,0.5973694199691145
SF3A1,0.10580163204002879,1.4895488667348824,0.14035377716215247,0.48038285869365416,0.6933360989339004,0.19139151431202608
TMEM8A,0.1497680006011679,2.0117724574731177,0.04767857966804784,0.3615224496973158,0.6933318022420548,0.09752436750282513
PELP1,0.10530525932929846,1.548696321460725,0.1254810611842834,0.4670549550827844,0.6930365721763904,0.17480673657513177
CECR1,0.08002714515987375,1.1869675830300115,0.23882354882605944,0.5740298006557346,0.6916992639127477,0.2878676704599824
RRP9,0.1272945036038493,1.8215373740249374,0.07233843658814569,0.3945126083885686,0.6895486719941499,0.12283885458364363
TRIP6,0.12789709813758599,1.9826135333678636,0.05091267691284945,0.3660646122028051,0.6895310436573591,0.1025852445258907
PCSK7,0.22083462444782054,2.2327008159594506,0.02842059566911266,0.3138107438464523,0.6879662827127583,0.07751071546121635
PRAF2,0.10975652945594527,1.7135265674445554,0.09056627811779304,0.42068455487539924,0.687932140419394,0.14134621440349202
ENTPD6,0.20670508341232896,3.179511779400295,0.00211266604238802,0.26470869863932694,0.6876265192375742,0.02592817415658025
PEX14,0.16229902042594535,2.061918970210798,0.04252782174858251,0.34934337313389885,0.6853247926393493,0.09436380213972503
CD7,0.08608750568160861,1.1196204923843478,0.266292929921513,0.5970144489676944,0.6841291302938635,0.3126047438209066
DHCR24,0.3247938023505732,4.504494035731161,2.2882286969834565e-05,0.15462705419865708,0.6838780496355047,0.006178217481855332
TBC1D10B,0.1081976808331806,1.4057395892386635,0.16375107751868598,0.5047397178470169,0.6821049117907485,0.21672936730414322
LGALS9,0.02555777584264529,0.36861825497652523,0.7134055381031328,0.8802771704066319,0.6795014998872678,0.7380057290722064
PITPNM1,0.14075903964929548,2.3216999788897072,0.022846086591935596,0.30071249536087663,0.6776190295089294,0.06698660847349959
CFL1,0.1554124899078353,1.5481940266346284,0.1256018773910206,0.46705655021139253,0.6775098824502097,0.17480673657513177
CSF1R,0.1907202596042259,2.5759901329928545,0.011873425848083045,0.2795059819889614,0.6765913108830287,0.050886110777498765
CLIP2,0.2300825495236536,2.946240988919435,0.004233560186653928,0.26470869863932694,0.676454783189393,0.03617136034258895
PRPF8,0.2918011600582586,2.4205667493683864,0.017808410685299123,0.28955799784264685,0.675104749935289,0.06164449852603543
FXYD7,0.1836748606956613,2.2846976353731,0.02503410026029924,0.30231917505319017,0.668249356491289,0.07040840698209162
TNFAIP2,0.138532860431142,2.3220982028318264,0.022823489942328676,0.30071249536087663,0.6655077729369206,0.06698660847349959
TJP3,0.07014146621943418,1.0189678899605015,0.31135147355737847,0.630425085056112,0.6645701919004564,0.35533071634600255
PSMD1,0.17457046214662775,2.8252905889975204,0.00598860173591835,0.26470869863932694,0.6638001688735947,0.04015137693090808
SF3B4,0.13708664579754704,1.6082290739820817,0.1118037880247593,0.4498446547051569,0.6618125869458394,0.16142792923360968
HMOX1,0.2940668464085672,3.0766397486413197,0.0028825332303731637,0.26470869863932694,0.6606622329946008,0.031131358888030168
RNH1,0.04444334989102039,0.6937834142002379,0.48986800062336916,0.7553412468254231,0.656985683096301,0.5269496421048194
SPI1,0.01139290494697498,0.10273514205151228,0.9184354326521367,0.9701934400729739,0.6539433474183611,0.9252894284181975
PRMT7,0.05852689711005654,0.9592986194908989,0.34035662039732495,0.6552592200384397,0.6526840964686049,0.37973672523668484
CS,0.06581752365832072,1.0664762559798913,0.2894806770695971,0.6140484277598569,0.6505411123729844,0.3354497116257134
CLPTM1,0.08355893510955958,1.152450646308606,0.2526368495674441,0.5858615246568872,0.6502991936608558,0.3004931690890304
ERCC2,0.16519732741930682,2.340530917134941,0.021798975757676985,0.3004186683713232,0.6499019190664377,0.06613172420868299
LOC101930075.3,0.17155956776667747,2.4208249570850064,0.017796668739601687,0.28955799784264685,0.6460217405261927,0.06164449852603543
TRAPPC12,0.18351930235204605,2.93131469325757,0.004420944041871983,0.26470869863932694,0.641760361040013,0.03617136034258895
