,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME15,ME16,ME17,ME18,ME19,ME20,ME21
GSM1123262,0.08880506822032647,0.27425293213520974,-0.548213484642201,0.09115796726924037,0.6922051077014766,0.6700343065836637,-0.22459957404195632,-1.3133415127849324,0.972411987287732,1.965187725730228,0.8936982737949395,0.1504780905699862,0.7423463489711151,-0.29948700481479645,-0.6261358077012756,1.6043614521130434,0.9204775992465983,-2.736644006721166,1.520142996835512,-0.23817447676916656,-2.959323531369438
GSM1123265,-1.453649225573987,0.7449368146405656,1.0208773329407959,0.31771824433477713,-0.09985619635366134,-0.14793069750071652,1.8025531036611442,-0.1536601339038363,-0.4146670110108417,-0.4799532965820447,-0.3314311014324707,-0.14281760319670497,2.119263085790621,1.881737962291372,0.07026697049399531,-0.7916327229448069,-0.5887462269029894,0.4099970530508954,-1.1058880245758889,-0.8600254905238239,-0.32817460115114877
GSM1123268,-1.7977180012365706,-0.44821180709385555,-0.9067475300592325,0.7851894652242775,-0.899857576127905,-1.177743447391729,-0.7170351298028895,-0.3293794183529982,-0.6241126498832081,-0.22716387563181417,-1.0145674329697685,-0.8235223910724024,1.1750099123848752,-1.5830859221400992,-0.5943617263120212,-0.16640238944786692,1.7928116973142028,-0.5275512050512672,-0.08022348925302014,-0.16800704321635915,0.3558613069069722
GSM1123271,2.714924083589359,-0.5385842431344002,0.897203632646426,1.2772222164754725,0.4561372938515989,1.201522346866393,2.048073815359018,0.45754965315624063,2.0258553510640835,0.8197649362412811,1.6741107208508295,-0.40786745674376473,-0.36577980734537374,-0.8481125065707245,-1.1552410319723019,-1.1215625720024525,0.059010331960007795,-1.463325625761898,-1.685441421306782,-2.658314534653203,0.34015467383274606
GSM1123274,-0.29496592725693926,0.5440046818438871,0.8251918750115166,-0.5957687525795908,-0.21183895836025213,-0.2520407811780993,1.216281340030022,0.34227871438331414,-0.47778862854394005,0.06267897777511064,-0.26073192615678686,-1.7598504050888626,1.916662708604388,-0.2729549698764648,-0.37199929687223676,-0.4465386295969096,0.1548731031235469,0.21593962609477524,-0.7719483727316995,-0.7309388519702826,-0.9035689454581958
GSM1123277,0.8256673886174687,-1.6212454250273824,-0.7411082896445707,-0.44095185897808564,-0.2564417995477352,0.019049040300772344,0.3021149491517629,0.32125487856081025,0.49447608370103635,0.8526830134192147,0.9461652778285821,1.0188002818606636,-0.2657667965543843,-0.3002582874485243,-1.2244253065644022,-1.3750727484330516,-1.2027437351882382,-0.22586144947247414,0.8706921508439509,-0.29455392732462854,-0.7597733241959895
GSM1123280,-0.02869354381434948,-2.812743527231214,-2.3341755938220716,-0.39035922775676823,-0.010688857115342584,0.8381918388643906,-0.05092836625958846,1.2094184579360812,0.6883248827527463,1.5850297242478248,1.6433630073024739,-1.6088488646151864,-0.49425447830012326,-1.5756028650906715,-1.3384686864737978,2.344276291770753,-0.40246982238066265,-1.4837423085189243,1.3244499421156664,-0.05902973438662487,-0.8774661295823171
GSM1123283,0.9881457349986317,0.7434239362468145,0.6390124041092475,-1.4229280573603647,0.562932048506013,0.4849193718759704,-0.6372759904103263,0.11412557083643421,-0.40297662390271916,-0.10334865402965257,0.5018899164282326,-1.0141701466523176,0.8836341199446235,1.228554047076076,2.1065077609153335,-0.1153797289074097,-0.5485296359118211,0.38666833470725626,0.1593453091351138,-0.4764949222208995,-0.42059026247778947
GSM1123286,0.8534566337599054,1.0682454050470458,0.9812967168190736,0.27466713836298384,-0.5747388785328009,-0.1902963755190172,1.4270665728690128,0.8225986038127578,1.3780398211472427,0.02369193174355365,-0.8255453275967085,-0.7741644948678543,-1.5937702636614015,0.22603694430020405,-0.4366176114979956,-0.5753519163224782,0.6698638178696705,1.2930271902472663,0.5427965501996453,0.8138569047999032,0.5622336657539703
GSM1123289,-0.39596114271425326,-0.47550254227944466,0.2148439954233247,-0.06475919554998025,-0.2973580747022694,0.4592084801314422,-0.13588100008296616,0.2116990166114706,0.2724820479297617,1.5627099808094045,1.1016272435789285,-1.5575354929065413,-0.07946800357773866,-0.6368400728749566,-0.9837047296756337,1.1591031624395736,-0.17134671050371397,0.3518310861557353,2.0145269115217954,0.7222689428722064,-0.6267423760459873
